index,mean_test_acc,mean_val_loss,mean_val_loss_iteration,min_val_loss,min_val_loss_acc,min_val_loss_iteration,min_val_loss_per_pruned,patience,pruning_rate,round,strategy,super_winning_ticket_percentage,units_first_layer,units_second_layer,winning_ticket_percentage
0,0,0.976881807500666,0.0872343351895159,2572.7272727272725,0.08168616145849228,0.9789000153541564,2100.0,86.42,5,0.2,1,1,0.8666666666666667,300,100,0.7333333333333333
1,1,0.9760454567995942,0.08853087506510994,2818.181818181818,0.08574485778808594,0.9751999974250792,2000.0,83.06,5,0.2,1,1,0.6666666666666666,240,80,0.7333333333333333
2,2,0.9749090888283468,0.09496071528304707,2800.0,0.08801350742578506,0.9749000072479248,2600.0,73.64,5,0.2,1,1,0.8666666666666667,192,64,0.7333333333333333
3,3,0.9728299915790558,0.09627385586500167,3120.0,0.09225326776504517,0.9739999771118164,3100.0,67.1,5,0.2,1,1,0.5333333333333333,153,51,0.6666666666666666
4,4,0.9711750000715256,0.1045743552967906,3400.0,0.10006444901227952,0.9710999727249146,3000.0,58.93,5,0.2,1,1,0.06666666666666668,122,40,0.5333333333333333
5,5,0.9710999998179348,0.10949719494039364,3854.5454545454545,0.10695290565490724,0.9714999794960022,2300.0,67.1,5,0.2,1,1,0.06666666666666668,97,32,0.7333333333333333
6,6,0.9683571457862854,0.11415058480841772,3900.0,0.10682275146245956,0.9689000248908995,3400.0,48.71,5,0.2,1,1,0.0,77,25,0.4666666666666667
7,7,0.9681000113487244,0.11536139249801634,5500.0,0.11536139249801634,0.9681000113487244,5500.0,35.93,5,0.2,1,1,0.0,61,20,0.06666666666666668
8,8,0.9649666746457418,0.13571331898371378,4500.0,0.13448181748390198,0.9641000032424928,3900.0,35.93,5,0.2,1,1,0.0,48,16,0.2
9,9,,,,,,,,5,0.2,1,1,0.0,38,12,0.0
10,10,0.9567666451136272,0.1699323852856954,6866.666666666668,0.16655780375003815,0.9571999907493592,5500.0,48.71,5,0.2,1,1,0.0,30,9,0.2
11,11,,,,,,,,5,0.2,1,1,0.0,24,7,0.0
12,12,0.9758692246216994,0.08784272235173446,2484.615384615385,0.08146457374095918,0.9768999814987184,1800.0,78.88,5,0.2,2,1,0.8,300,100,0.8666666666666667
13,13,0.974884610909682,0.09193584552178016,2676.923076923077,0.08580832183361052,0.9746000170707704,1800.0,73.64,5,0.2,2,1,0.7333333333333333,240,80,0.8666666666666667
14,14,0.9753999710083008,0.09023793786764144,3500.0,0.09023793786764144,0.9753999710083008,3500.0,86.41,5,0.2,2,1,0.6,192,64,0.06666666666666668
15,15,0.9753000140190125,0.09918477386236192,3700.0,0.09918477386236192,0.9753000140190125,3700.0,78.87,5,0.2,2,1,0.06666666666666668,153,51,0.06666666666666668
16,16,0.972787506878376,0.10426946729421616,3525.0,0.10120394080877304,0.972599983215332,4000.0,48.71,5,0.2,2,1,0.06666666666666668,122,40,0.5333333333333333
17,17,0.9704222215546502,0.10825738807519276,3444.4444444444453,0.09873570501804352,0.9733999967575072,3600.0,58.92,5,0.2,2,1,0.0,97,32,0.6
